2020-06-15 22:42:28,614 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.utils.user_settings.save', 'full_path': '/api/method/frappe.model.utils.user_settings.save?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,626 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.utils.user_settings.save', 'full_path': '/api/method/frappe.model.utils.user_settings.save?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,642 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role+Profile&filters=%5B%5D&fields=%5B%22count(%60tabRole+Profile%60.%60name%60)+AS+total_count%22%5D&_=1592256316887', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,725 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role+Profile&filters=%5B%5D&_=1592256316888', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,925 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,975 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.model.utils.user_settings.save', 'full_path': '/api/method/frappe.model.utils.user_settings.save?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:28,996 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=Role+Profile&filters=%5B%5D&fields=%5B%22count(%60tabRole+Profile%60.%60name%60)+AS+total_count%22%5D&_=1592256316889', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:29,004 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Role+Profile&filters=%5B%5D&_=1592256316890', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:42:38,647 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.deferred_insert.deferred_insert', 'full_path': '/api/method/frappe.deferred_insert.deferred_insert?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:47:28,826 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
